snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
395,cloud-5,4.5375000000000005,132.68882528291988,213.85597542247487,26.199583425495778,9497.167195017648
394,cloud-0,4.534375,228.00335385491405,180.39893486182083,69.82163398130253,11559089.443912275
394,cloud-1,4.534375,210.56726427064606,211.94002429230466,64.40960427713976,34955.12472979461
394,cloud-2,4.534375,136.16717500588462,214.6652244669059,28.02846086576408,15163.323063525077
394,cloud-3,4.534375,106.64608204750714,205.68111540797696,36.80398658573493,16802.636534360547
394,cloud-4,4.534375,138.85914952735942,213.15728219244065,28.65359887455817,11401.34283036099
394,cloud-5,4.534375,133.07458630357195,215.44371194571374,26.52086546858085,9789.869572859769
393,cloud-0,4.53125,228.00772212873397,180.40950087789093,69.81965227257513,7998115.384968085
393,cloud-1,4.53125,210.56355343415873,211.9468816688268,64.40934056497088,34817.81576166813
393,cloud-2,4.53125,136.15753719064804,214.6671001118137,28.036412827298477,14272.164024732021
393,cloud-3,4.53125,106.64814561548023,205.68263378275606,36.80348280698877,17109.06307654541
393,cloud-4,4.53125,138.85275540652435,213.1583808414911,28.655732107420363,11404.246003213073
393,cloud-5,4.53125,133.07117394293454,215.4500424899229,26.530087949326912,10118.289810068673
392,cloud-0,4.525,228.0165710158655,180.42834992683282,69.81324678209377,4427393.34658607
392,cloud-1,4.525,210.55607756077885,211.9607103609885,64.40885559699757,33756.62951700964
392,cloud-2,4.525,136.12935531475046,214.6901274480975,28.060798545031616,13158.660935273787
392,cloud-3,4.525,106.65238947198608,205.68591379046154,36.80245415741376,16672.706112659045
392,cloud-4,4.525,138.83991432764566,213.1607035419397,28.6599777707126,11291.393447113785
392,cloud-5,4.525,133.06443433847488,215.46261148014216,26.548745224769505,10491.1515908692
391,cloud-0,4.5125,228.0020432459925,180.45788254494425,69.79958345932295,1971592.177754018
391,cloud-1,4.5125,210.4889562323127,211.93871888732622,64.37240772406312,32981.83523026536
391,cloud-2,4.5125,136.08965946243558,214.69993061546103,28.092746036064,11352.711334726017
391,cloud-3,4.5125,106.663837411924,205.68986891154753,36.802670010049724,15723.49612745255
391,cloud-4,4.5125,138.81527185886046,213.16618101209377,28.668081575411293,11417.73090450087
391,cloud-5,4.5125,133.05297999612506,215.4869705450738,26.584102939552736,10484.214088269975
390,cloud-0,4.5,228.01862790304162,180.4986168442641,69.7894419332502,1640598.5378183858
390,cloud-1,4.5,210.52811660369179,212.0053686008306,64.40738311221276,35184.00845342857
390,cloud-2,4.5,136.0879856945514,214.7250081014941,27.877727096280907,9545.218434715343
390,cloud-3,4.5,106.67589954317612,205.69349973052255,36.80105017529027,12207.182288249263
390,cloud-4,4.5,138.78630782962756,213.17887067948848,28.670009341177263,11463.400343663705
390,cloud-5,4.5,133.04449414170918,215.51747502540312,26.625755869859773,9733.77226453524
389,cloud-0,4.4875,228.0371409898699,180.54440261370763,69.77381888829542,1235921.3793287242
389,cloud-1,4.4875,210.51164198995647,212.03215155521823,64.40622975006006,40093.000677481665
389,cloud-2,4.4875,136.04311297860852,214.76929168585397,27.90546298548574,9122.490883285875
389,cloud-3,4.4875,106.68196499819813,205.68640827247157,36.80218028475694,11074.739504639621
389,cloud-4,4.4875,138.7680233901629,213.17747044626708,28.683850962049476,10770.379358184264
389,cloud-5,4.4875,133.00555505366023,215.52156123866928,26.670005186361337,9375.691847167427
388,cloud-0,4.4750000000000005,228.0452093601239,180.58381093357235,69.7645485495176,897294.5449471994
388,cloud-1,4.4750000000000005,210.46606597373884,212.05262548301602,64.39845654687373,44596.76478827794
388,cloud-2,4.4750000000000005,135.999762266831,214.78290357682988,27.94990008932875,9399.766072513514
388,cloud-3,4.4750000000000005,106.10592535428515,205.1740092473928,36.66705914565455,13275.959174980495
388,cloud-4,4.4750000000000005,138.7379597204789,213.19477619427278,28.689194615913138,11156.074218427682
388,cloud-5,4.4750000000000005,132.99329703460594,215.54539986613594,26.709148814687097,9437.177083057919
387,cloud-0,4.4625,228.05964905299993,180.627817523337,69.75020070953593,706084.8786592663
387,cloud-1,4.4625,210.44982855530787,212.07802442493755,64.39977681515234,45670.85526460904
387,cloud-2,4.4625,135.9598271842818,214.79576110605316,27.981595373668597,9016.22027068568
387,cloud-3,4.4625,106.11579686477376,205.18408981393182,36.66949029611192,13502.609040447705
387,cloud-4,4.4625,138.71430752788373,213.20378078225602,28.698708932079967,12557.157023112215
387,cloud-5,4.4625,132.9810238636667,215.56915832817842,26.748637570974154,9378.391316980733
386,cloud-0,4.45,228.0748954741677,180.67009223304794,69.73395199848358,545442.9134844673
386,cloud-1,4.45,210.43361350522142,212.112268800092,64.4062970686449,50119.694925982774
386,cloud-2,4.45,135.92454469894562,214.81403152597952,28.003294995374148,8447.91404549467
386,cloud-3,4.45,105.89082750382542,204.87752984977908,36.70904026311902,12568.969218796161
386,cloud-4,4.45,138.69099782619196,213.21242461014197,28.708135907430773,11925.962143820274
386,cloud-5,4.45,132.9708495745175,215.59580098662897,26.789072690769274,9200.607471879637
385,cloud-0,4.4375,228.09410987159873,180.71144374166602,69.71673750708305,373193.45367352635
385,cloud-1,4.4375,210.41763438535023,212.13576384526766,64.40232438112287,44742.80542480793
385,cloud-2,4.4375,135.87092519933793,214.80637021019862,28.066683159621505,7887.5761036323765
385,cloud-3,4.4375,106.68655553241247,205.68412562529141,36.79165680940082,13422.190792916994
385,cloud-4,4.4375,138.67964527861687,213.18228815625528,28.690720351884238,10733.476475998184
385,cloud-5,4.4375,132.95682938532136,215.62212626225408,26.828684216703437,8510.782896104447
384,cloud-0,4.425,228.11005807105533,180.75506275735717,69.70027745181602,265643.55864364334
384,cloud-1,4.425,210.4128480152529,212.16266298009828,64.4020516491504,37158.04983141322
384,cloud-2,4.425,135.82956379115922,214.82115133151297,28.08205955047128,7978.393168570784
384,cloud-3,4.425,105.86527332927412,204.88158109973844,36.74878798002129,13776.452312702924
384,cloud-4,4.425,138.6418591197014,213.17803990763073,28.69054807067121,10615.578095600824
384,cloud-5,4.425,132.9428629229037,215.64201244964713,26.86702079468057,7976.731822843801
383,cloud-0,4.4125000000000005,228.1553877528135,180.7750016355654,69.69148279972353,211515.4010157158
383,cloud-1,4.4125000000000005,210.3920267478797,212.1933515292489,64.39982542882802,28071.318293797212
383,cloud-2,4.4125000000000005,135.78889077316055,214.83563466851703,28.114345282786985,8216.85819500118
383,cloud-3,4.4125000000000005,105.85590607475932,204.89182126221027,36.77349362323241,13204.394697403877
383,cloud-4,4.4125000000000005,138.61919001964156,213.18984151983676,28.700883681232312,10596.898067167882
383,cloud-5,4.4125000000000005,133.0499148656574,215.53432018121893,26.87447882425556,7694.641367882485
382,cloud-0,4.4,228.1704028060852,180.82115765953176,69.67958365347974,195139.50318839913
382,cloud-1,4.4,210.3535040359599,212.16078474942304,64.31627014980543,22931.28253477074
382,cloud-2,4.4,135.74781816501138,214.85050160981385,28.146813607419205,8106.6369550635845
382,cloud-3,4.4,105.86351602003776,204.88729304551208,36.77209174632449,13704.126267999995
382,cloud-4,4.4,138.59416949478742,213.20329392550207,28.709861972207705,9630.674664354767
382,cloud-5,4.4,133.04062617983737,215.56067087296793,26.91183644063446,7892.258809930282
381,cloud-0,4.3875,228.18541838723962,180.86417751521964,69.66401132721579,164462.05611888078
381,cloud-1,4.3875,210.33105575097795,212.2003185301328,64.32045160018004,24533.376118161075
381,cloud-2,4.3875,135.70650476322902,214.86577125666238,28.178827915941838,7711.241455078372
381,cloud-3,4.3875,105.87250538775591,204.88253318610668,36.766871326524495,13036.453690616416
381,cloud-4,4.3875,138.57108782929606,213.21452049566145,28.718940833311535,9691.907121929842
381,cloud-5,4.3875,133.03139297441842,215.5870901930942,26.94908460436659,8032.995884147217
380,cloud-0,4.375,228.20526831625557,180.90721589392854,69.64406261584341,139399.3114194895
380,cloud-1,4.375,210.31725675547375,212.2309414043456,64.31796022164605,24642.485398247885
380,cloud-2,4.375,135.59652364802392,214.9725192528329,28.27652965924956,7605.209275831431
380,cloud-3,4.375,105.85381156048433,204.84925206553993,36.7461308211423,10947.53646610417
380,cloud-4,4.375,138.54786971029463,213.2263484987758,28.728104081298426,9197.964747180838
